,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
409,7/6/2021,70-79,17714,16662.0,6560.0,1854,1569.0,285.0
410,7/6/2021,80+,16587,15129.0,10044.0,4658,3730.0,928.0
411,7/7/2021,0-9,21563,20174.0,5728.0,1,1.0,0.0
413,7/7/2021,20-29,61313,54929.0,13175.0,10,10.0,0.0
414,7/7/2021,30-39,54400,49344.0,12296.0,43,41.0,2.0
415,7/7/2021,40-49,48782,44738.0,11272.0,152,120.0,32.0
416,7/7/2021,50-59,52153,48246.0,10041.0,465,394.0,71.0
417,7/7/2021,60-69,34521,32320.0,7836.0,1093,943.0,150.0
418,7/7/2021,70-79,17718,16665.0,6562.0,1854,1569.0,285.0
419,7/7/2021,80+,16588,15130.0,10045.0,4657,3729.0,928.0
420,7/8/2021,0-9,21566,20176.0,5729.0,1,1.0,0.0
422,7/8/2021,20-29,61328,54937.0,13178.0,10,10.0,0.0
423,7/8/2021,30-39,54408,49348.0,12298.0,43,41.0,2.0
